sku,short_description,name,description,brand_name,image_name,pack_size,kit_flag,superseded_to,alternative_group,cat_page_no,mini_cat_page_no,manufacturer_name,manufacturer_acc_no,manufacturer_code,traded_pack_bar_code,depth,width,height,weight,spicer_xref,boss_code,major_group,minor_group,price,trade_price,retail_to_trade,vat_code,product_matrix,cat_price_discount,status_code,nett_price_indicator,product_returnable,customer_logistics_lead_time,dealer_logistics_lead_time,delta_status,status_description,nett_cost,shipping_category_id,available_on
38920,Citizen Pntiva 600C I/Cart 3000058,Citizen Printiva 600C Inkjet Cartridge 3000058 Yellow,Citizen Printiva Yellow Ink Cartridge - 600C.  OEM Ref - 3000058.,CITIZEN,38920,1,0,,,0,0,LRB Trading (ISA Wholesale),81778,3000058,5.03E+12,8.8,6.2,2.2,0.035,,43152,16,1,30.66,29.12,L,1,Z,8,X,1,Y,1,1,,D,,1,01/01/2014
003R96602,Clrprint 120 A4 FSC MX Pk500 Sht,ColorPrint 120 A4 Paper FSC Mix 500Pk,Xerox ColorPrint Paper 120gsm. Suitable for use in Xerox Nuvera Printers.,XEROX,,4,0,,,0,0,Antalis Document Supplies Ltd,84189,003R96602,,30.9,22.1,27.2,15.3,,10101,51,1,49.29,37.07,L,1,Z,8,,1,N,1,1,,,,1,01/01/2014
2W00977,2Work Scrubber Dryer Detergent Foam,2Work Scrubber Dryer Detergent Foam,2Work Scrubber Dryer Detergent Foam. Prevents dirt and mess. Not only removing dirt but also preventing bacteria and viruses being cultivated in the workplace. 5 Litres.,2WORK,2W00977,1,0,,,990,0,CLOVER CHEMICALS LTD,84027,308,,28.3,29.9,19.2,11.4,,71101,79,3,9.79,7.34,L,1,Z,8,,1,Y,997,1,,,,1,01/01/2014
2W01167,2Work Blk Wheelie Bin Liners Mduty Pk100,2Work Black Wheelie Bin Liners Medium Duty (Pk 100) WBL,Medium duty bin liners. Designed to fit most wheelie bins. Black polythene construction. Supplied in a flat pack of 100. Dimensions: 762x1140x1370mm. Capacity: 270 litres.,2WORK,2W01167,1,0,,,990,0,HPC Healthline,83866,WBL,5.02E+12,39,29.2,18.2,9.4,,71115,79,1,29.4,22.05,L,1,Z,8,,1,Y,1,1,,A,,1,01/01/2014
2W03970,2Work Disinfectant Perfumed 1L,2Work Disinfectant Perfumed 1L 2W03970,"2Work Disinfectant Perfumed 1 Litre. Ideal for daily use on floors, washroom surfaces. Long lasting powerful fresh fragrance. Safe on stainless steel, chrome, tiles and glass.",2WORK,2W03970,1,0,,,683,363,CLOVER CHEMICALS LTD,84027,2W03970,5.03E+12,25,8.5,8.5,1.061,,71101,79,3,3.35,2.23,S,1,L,1,,1,Y,1,1,,,,1,01/01/2014
